address,restaurantName,category,sojuPrice,beerPrice,businessHours,lat,lon,imageURLs
서울특별시 마포구 서교동 362-11,수림식당,중식,4000,4500,11:00~20:00,37.55153961682935,126.91975953597844,"https://media-cdn.tripadvisor.com/media/photo-s/2a/30/90/6a/jp-menu.jpg, https://mblogthumb-phinf.pstatic.net/MjAyMDA0MTZfMjM3/MDAxNTg3MDAzNjIxODAy.GRDXq7syLf8Y71AtQMEV1BGNh9119v1Smc8Ctel4EC0g.Ntb3FWPrRbfaMMHXCHq9roXQCIoUckKxupwYuYposkog.JPEG.lordlysj/%EC%8D%B8%EB%84%A4%EC%9D%BC.JPG?type=w800, https://mblogthumb-phinf.pstatic.net/MjAxOTEyMTFfMjI3/MDAxNTc2MDUxNDUyNjgw.GGMTpMvQCrupIQasejkr4LTqOwmNendYyVrMi1lnajkg.La7R8DgZLKSDTQlVxc3pTJR_S5fr2KuXZPH6kAwxgdog.JPEG.about_lsj/P20191130_115249585_8587DC3A-5480-41A7-9F04-80FB6B1E19C8_%EC%82%AC%EB%B3%B8_%EC%82%AC%EB%B3%B8.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA2MTJfMSAg/MDAxNjU0OTk5NTM2NTk2.NggNTGqoOSUVUgkcmpZuaWHlII_Nkp7sJ7RSStBlyr8g.QSDOPaCdZb77VzBNxwKY5kxuQn7LHA56TlFDDC6Zpl4g.JPEG.hyunah0701/SE-4f577cb8-e9ec-11ec-8c15-33b5b98cf90a.jpg?type=w800"
서울특별시 마포구 서교동 395-69,그늘 홍대점,한식,4000,4500,11:00~22:00,37.549809662990015,126.91421021439491,"https://mblogthumb-phinf.pstatic.net/MjAyMjA4MjhfNDYg/MDAxNjYxNjkxNjk4Mzcw.RkfnrubJwk7ovPRxpGyGzC1szrehjmOHd3uAl7U_7Qkg.jbDsm0yQAAubkNSVK7V6BPNh7EdD-az2hQn2hDTt3N0g.JPEG.helena7463/IMG_0467.JPG?type=w800, https://mblogthumb-phinf.pstatic.net/MjAxODAyMThfMTUx/MDAxNTE4OTQ1MzY1NzAz.J2TQ0rMBPttjNR9Il9XbYP7Q7K3O4wMTjeX73ol1QDEg.cQBHvaq9BfbHQiED66VYIKXexBLIsgqOeIh050qgAJcg.JPEG.colourfulming/IMG_8259.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMTA0MTRfMjU3/MDAxNjE4MzgzMDA0NTkz.MfrzZh3X9y-mFr9sJKHxVi6m9EtkjUsdNFXwvlbKKWUg.fyv8GKXeRORzmbNfX8rb7lKHYc-2XT3viEjx-fRmn3Mg.JPEG.travel_ad/KakaoTalk_20210402_152957698_08.jpg?type=w800, https://dnvefa72aowie.cloudfront.net/business/bizPlatform/profile/4788264/1638275255138/f026be84d858208ec383333a1ff28b3dc7b647b2444f73fde84882c80a64d7e7.jpeg?q=82&s=640x640&t=crop"
서울특별시 마포구 서교동 449-6 1층,제주은희네해장국홍대점,한식,4000,4500,11:00~22:00,37.55805293431602,126.91494608060096,"https://mblogthumb-phinf.pstatic.net/MjAyMTA0MTBfMTkw/MDAxNjE4MDYzMjYyNzQ1.LmBK09ff620alVCt7CqjEGruuz37PxHEu4E476kaO-Ig.rKrdZDudM4vnVDEmwrI1LtTBqdG-HMwcLqQO3C6Iab4g.JPEG.maru0380/SE-dff0d7d0-d896-46e8-ac8b-932b5fe1a65e.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMDA3MTJfNSAg/MDAxNTk0NTM1NDA2NzY5.8OQQVEMhITAYLyp-PF-casA2wHH_vyTE79l8OivLQeQg.iR69zgDGdzlcvwH-VVMynV0d50gPma6c4hBGuMlIzbQg.JPEG.izzyoh/IMG_3819.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAxNzA4MjhfMjEy/MDAxNTAzOTE5MzE3ODE0.jN-GKPfxbOvupQvzu5kaWEhDrEwy3tibdHHXlscbffEg.IfKVZUL-Yeq8mtL-SbqYO4D-PeSVa_VNk52vBpwK85Yg.JPEG.hongdae-star/20170816_121451.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMDEwMTdfODAg/MDAxNjAyODYyNTI5NzE0.rggZDUT9bAi6aaqaBkbfd4JeAq-aoCVlZ7p0IGSmLxcg.hDyqwbEIN3h6f79WppVWUYvhx0biDNmS-qLvNOoCtvkg.JPEG.cobaltpeach/DSC02970.JPG?type=w800"
서울특별시 마포구 서교동 486 서교푸르지오,경원식부 서교점,중식,4000,4500,11:00~20:00,37.553793659205176,126.92080441475862,"https://d12zq4w4guyljn.cloudfront.net/750_750_20230201094750_photo1_4281593e16d2.jpg, https://mblogthumb-phinf.pstatic.net/MjAxODAyMDZfMzAg/MDAxNTE3ODU0MzQ0MTk3.837bETO4JERXa7tj9bo6QXJxqnoJhCbmC30ZUFbcatUg.4rnhP8Eh2Bl4OwK-r9ieQvO9qgqieWjXEnO5Z0evFQ4g.JPEG.es4715608/IMG_0338.jpg?type=w800, https://d12zq4w4guyljn.cloudfront.net/750_750_20230201094750_photo2_4281593e16d2.jpg, https://mblogthumb-phinf.pstatic.net/MjAyMjA3MDlfMjE1/MDAxNjU3MzcwODQ5MDY0.ASwoRYEMGJybqdDD35jSoP6G_QHhGcBPS_StBSaAyPwg.0j_az5eFk3D76pe86IYBEUGJ7C0gRRSMxYVrsNUzt3Ig.JPEG.hyebin9707/IMG_5934.jpg?type=w800"
서울특별시 마포구 서교동 394-25 동양한강트레벨,로타리 홍대점,일식,4000,4500,11:00~22:00,37.54954782478666,126.91192171153084,"https://mblogthumb-phinf.pstatic.net/MjAyMjEwMjlfNzYg/MDAxNjY3MDI4NDMxNDk0.syDthaAiQumKUF4aXfkTsRdC0QStfm00AnTd-Bcgesgg.4zQ6no4DynmafAoZN6ai82I2b35-WXsuCdnY7nKhlNog.JPEG.kdkk_/IMG_3506.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMTNfMjMw/MDAxNjczNjIwODMwMjQx.AzxFxmkipg36qQj1oAxofagqrbkyt5wGU-9eOHMR8jAg.zera3FgveveZml5VzwY9YNms5FcSrpRr2d50H_7xdiMg.JPEG.hyebin9707/output_3715827182.jpg?type=w800, https://d12zq4w4guyljn.cloudfront.net/300_300_20231101121157340_photo_c845dff72267.jpg, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMTdfMTQ0/MDAxNjczOTQ0ODU5MDM4.AvX4tAN6sdR4Pj_qpqt-BVhR5YxySFjeuM3Jf-bRA2wg.-oZHRkBZXlq50OA_ct-Bk1U5tMlaCZmzNGpRGIBMGR4g.JPEG.carrie0711/SE-d155e6e9-4b10-4492-a969-2aadb027de29.jpg?type=w800"
서울특별시 마포구 서교동 377-7 이막빌딩,소금과 다시마,일식,4000,4500,11:00~22:00,37.55342432392082,126.91298578963696,"https://img.siksinhot.com/place/1677471276534797.jpg, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMzFfNiAg/MDAxNjc1MTIxOTE3MTk0.9C7bQIks0wSSVVWwnUBQeBacEl7strhLRBhAPx8hYwAg.-4JHo4oAusJ4j4T59PiKlI2Ei0WxTCzQikCYPfooJk8g.JPEG.heejae0521/PXL%EF%BC%BF20230119%EF%BC%BF095906358.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMzFfMTk2/MDAxNjc1MTIxOTIzODU0.lHbcaVWIC36s1KXcL5gtx6rNFLDXqbcNjKm_gGZVQ20g.Lb0DbNi4_ou1qomYh2O99_eDQcarmYmol-DE6uic_HEg.JPEG.heejae0521/PXL%EF%BC%BF20230119%EF%BC%BF105544280.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMzFfMjcx/MDAxNjc1MTIxOTE3NTgx.BCB-EfpS8DznBuZCyPx3F0FhLsY5vPdvPXtL0wct7jsg._svMftgR0Zb-pJOZjsw69_5FstyPdcnovj9Z_dA4TFsg.JPEG.heejae0521/PXL%EF%BC%BF20230119%EF%BC%BF095921301.jpg?type=w800"
서울특별시 마포구 서교동 399-14,미지(MIZI) 홍대점,한식,4000,4500,11:00~22:00,37.54943962331981,126.91564530831872,"https://mblogthumb-phinf.pstatic.net/MjAyMzAxMjlfMTkx/MDAxNjc0OTg5NTgxMzE1.6N4U0KMvQ1idn9SCpAYBKYLzvH3jXRLNBpRY1hBm78gg.belvg9tgzIIRt4x5iNA9Mrv_TTwKGUPPOwubtt00pmkg.JPEG.vanillasky_5/SE-9D456004-7D7C-4F2F-84DD-C7A14EF7EC18.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAxMjlfMTQ4/MDAxNjc0OTg5NTgzMzAy.2wboo2j0NfuFC_kOE8tvAw7p8sHzjglPBAnoI--uKBQg.A6a0p6kl7woEXrdZ2xmL5to9IVyGzM1rTxYl5ig30psg.JPEG.vanillasky_5/SE-3023DC6A-C6B8-4B0E-81DD-A46FD76CC48E.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA5MDRfMTA5/MDAxNjYyMjk4ODU4Mzc2.hDLbQQQja__3xSsra9kVKJCNnx_vAMTtudX2q7oHMNAg.Bsq-Me-j62BeN20-9o1Qy6SroxI2dxYRdCvq2mCcrlMg.JPEG.gkgk319/IMG_3670.JPG?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA5MDRfNTkg/MDAxNjYyMjk4ODA1OTEx.hAEZz8atWXUGzBGOX5irdyWO2YolPw0Tsp-UyFmAvjog.uPOqH82QTnv2g6lsQEzg1mQJf59Nlx5axNPcxIioxtEg.JPEG.gkgk319/IMG_3614.JPG?type=w800"
서울특별시 마포구 서교동 395-17 예랑빌딩 1층,401(사백일) 홍대점,한식,4000,4500,11:00~22:00,37.55073322924423,126.91730993868602,"https://mblogthumb-phinf.pstatic.net/20160718_105/jsl9210_1468842308875qfwyv_JPEG/attachImage_822044577.jpeg?type=w800, https://mblogthumb-phinf.pstatic.net/20160718_112/jsl9210_14688423069961nPHe_JPEG/attachImage_2642745716.jpeg?type=w800, https://mblogthumb-phinf.pstatic.net/20160912_157/rubirang_1473655141230xfBrb_JPEG/image_9237035571473654946930.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/20160912_143/rubirang_1473655142267g0Fp5_JPEG/image_8497391151473654946928.jpg?type=w800"
서울특별시 마포구 서교동 337-27,덮담 홍대점,한식,4000,4500,11:00~22:00,37.553863811725066,126.92569292648936,"https://mblogthumb-phinf.pstatic.net/MjAyMjAzMTBfODEg/MDAxNjQ2OTEzNjc1Mzg0.UnlB2eZPwwGKqZ4QSiMmT1I8o_iP2kSPjpmEot8DQKsg.LlVGiCd15y9gmPQ1qCWNcNyRx9q5ldyk1GDxPy2dQFMg.PNG.gjfkr0304/image.png?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjAzMTBfMjkx/MDAxNjQ2OTE0MDAxMjI2.F9JLnUj8J24b4LT3lp5mhdzaxSPTKM5sXYN9EHoRJAog.rdzZav_VZwSMyk4prEXMjeLoxEqNaCovX0LeB3AcFRwg.PNG.gjfkr0304/image.png?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjAzMDlfODUg/MDAxNjQ2ODA0MjA3NTUy.anRoRRFDz0B2GwwCuBCrUMtrsSbeDQ3IISwrORMeuWYg.o7NYKlLo7r_GN2DWMJlOzlRCLqw19flB4-jVzuGeIM0g.PNG.gjfkr0304/image.png?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA5MjVfMjEz/MDAxNjY0MTExMTIzMDM0.wJor8dCmjq0US_UxCL4Ot-knkwCQsr50CJbrQjaVoDwg.v1HprpEL_NU-FL1Lx912qibxNLxCREmyD6vkS4MKhkcg.JPEG.tgs03132/IMG_0074.JPG?type=w800"
서울특별시 마포구 서교동 331-13,꽃게나라,한식,4000,4500,11:00~22:00,37.556019171766216,126.92236820698868,"https://mblogthumb-phinf.pstatic.net/MjAyMjExMjZfMjc5/MDAxNjY5NDcwNTIxMDUx.-kAw-3bXrmU246SAPsNOQkbVWOPvBIQWJs0XUBmjw6wg.ys16im8BB0U3wziI7hZ_-0ls-lM2PvpQl1mqPeR7e7Qg.JPEG.yuisarang/KakaoTalk_20221126_224651621_01.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA4MDJfMTQ4/MDAxNjkwOTgyNDYwODAy.a0nn3GOovin8v_iw9LJp1zVt-EpqlHjtULlnNi0hU4Qg.vOxO_9gkI_VAnUQW-KQW1Kt5uD50GxddvVQxyRurP9Yg.JPEG.eumioo1004/SE-40b0e62b-062f-40cc-92a7-5c6abfb87d87.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA0MTZfMTM5/MDAxNjUwMDg2OTcxMDUx.oQfKcYJ_ntAzRavgph3-n8nRkTws9wr-bO7WryFpYhYg.VBbr-HiXN9sckSh0ndHaxheV1a_dgpIoHVjD0GzmcYwg.JPEG.aesongyi/20220416%EF%BC%BF120307.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAyMTlfMjIw/MDAxNjc2Nzg3MjE5OTYy.6clQCssAVIgh1tfc8o1LwG6W7MGjWIrHfs5bhoBhhzgg.0PVLTDdSIvtsCj7MRB3Mk38UfhayEtCfaLFzUTA4Ctcg.JPEG.dahlia_choa/SE-83A363FA-9377-4F74-BFD1-DF3BBCC22DD5.jpg?type=w800"
서울특별시 마포구 서교동 357-1 서교오피스텔,코코발리비비큐 서교동지점,양식,4000,4500,11:30~22:00,37.55352208503476,126.91878354769769,"https://mblogthumb-phinf.pstatic.net/MjAyMzAzMTFfMjA2/MDAxNjc4NTQzNzA0MjE1.cmZBETvvbpx-c01M2NZVFQZW7j-MqOTPAYDNwJRNcIUg.e7nq3CFBpJbGUbb7mDxNYy94s8_95HbVPjLxsuNv8rgg.JPEG.sudal705/SE-91a67345-2096-43eb-b048-347941455c58.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA1MDFfODIg/MDAxNjgyODc3NTAwNTg3.k99romls3_urWEwlbRUzTw96LD4CGhpUR7BWTwaSb2gg.uDfbgSVIC-n-hErSoBuy-azE2MDcYkS64zkPsQHE_UUg.JPEG.jmsjkim/1682873911649.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzAzMTFfMTEy/MDAxNjc4NTQ0MTk3MjY0.n0L0v6h1SWiE2caK1OqAfqjmV1bxCr6Q98HRZTTEstsg.RmQTNo49uRgKp450vim6QgVOkN6W2CJBF4tQ2I2vpr4g.JPEG.sudal705/SE-e45b28a6-6e53-4c43-b107-b697197719ee.jpg?type=w800, https://ak-d.tripcdn.com/images/1mi4y2234ai0f0lcxFACE_W_400_0_R5_Q90.jpg?proc=source/trip"
서울특별시 마포구 서교동 409-10,후타츠 홍대점,일식,4000,4500,11:00~22:00,37.54938168196466,126.91885840035113,"https://gangseotongsin.com/site/wp-content/uploads/2023/01/1-59-scaled.jpg, https://gangseotongsin.com/site/wp-content/uploads/2023/01/5-55-scaled.jpg, https://d12zq4w4guyljn.cloudfront.net/750_750_20230813114608116_photo_d9c5e4270b1b.jpg, https://gangseotongsin.com/site/wp-content/uploads/2023/01/2-56-scaled.jpg"
